Galaxy,tau_Myr,regime,Hubble_Type,Hubble_Type_Num,xi_GL,r_core,V0,logMstar
NGC4389,73.47459588644995,Extended (τ>0),Sc,4,9.347494615790865,4.375288604931481,192.53952913935493,10.208
NGC5005,2.0330206451843456,Transition,Sc,4,0.5516556886362569,0.0337578536539192,279.3357915268048,11.286
NGC5033,1.427036582814314,Transition,Sc,5,0.4220647770016001,0.2654257084821283,211.8095227155449,11.057
NGC5055,4.257303567889299,Transition,Sc,4,1.0125752369237406,0.4710651206174557,191.21386484601416,11.214
NGC5371,0.6129547481320538,Transition,Sc,4,0.1527718559828311,0.0188569615548214,222.48106472545115,11.607
NGC5585,46.78580633576182,Transition,Sd,7,4.7154825383773655,1.6604010988410214,102.1243670575256,9.222
NGC5985,10.541561142662633,Transition,Sb,3,3.8747799074949727,2.0532839960399327,294.23205365252096,11.286
NGC6015,10.530848838611682,Transition,Sd,6,2.0087240752998627,0.9180889152843306,156.44328960080003,10.424
NGC6503,7.272382818508295,Transition,Sd,6,1.0270289394400072,0.4959448134398352,116.28122498880144,9.823
NGC6674,5.261308614468935,Transition,Sb,3,2.3452812855593144,1.7469448627612196,253.07142831829316,11.09
NGC7331,5.2649176657569,Transition,Sb,3,2.263415770606111,1.7918262195211183,242.57729131590443,11.191
NGC7793,12.22245091003755,Transition,Sd,7,1.581479222687042,0.633516634590005,109.18713926880132,9.569
NGC7814,0.0306322166518024,Transition,Sb,2,0.0104506694723407,0.0063550073128044,224.61124434979197,10.686
UGC02023,,Transition,Irr,10,,,,8.829
UGC02259,18.443763795939297,Transition,Sm/Im,8,1.8040038699556784,0.6134045705133202,90.46707612093785,9.047
UGC02455,1299.4084068857471,Extended (τ>0),Irr,10,89.42772091691191,37.87634237068008,499.9999999999254,9.317
UGC02487,0.02274311922568167,Transition,Sa,0,0.0134910425658247,0.0101367045469947,355.05879790817795,11.754
UGC02885,0.22880772841325187,Transition,Sc,5,0.07141346412068,0.0035715142301612,287.59605930700604,11.863
UGC02953,0.9311891347338037,Transition,Sb,2,0.3051570169549319,0.0308381783869479,287.08709332333865,11.216
