Galaxy,n_points,V0,xi_GL,alpha,chi2_red,rms_resid,r_core,success,note
NGC4085,7,135.79865644815055,2.3858573882841343,1.153079559257384,2.9888823652409022,1.3068790227628793,1.4190589250722947,True,
NGC4088,12,173.7090916220391,3.1673299805265116,1.099032185295044,36.268024052950494,5.215459523351022,1.8363383659920518,True,
NGC4100,24,179.5492754125974,3.0386721536800243,1.616076170564665,160.2667984876702,11.84202046429204,2.097420600828883,True,
NGC4138,7,165.57220961442158,0.025446111280378,1.9394781709068474,576.9285724961208,18.156912457733096,0.018683966413497993,True,
NGC4157,17,188.02677765066858,2.790980360784779,1.2603409351684198,49.07368256011307,6.35717082764478,1.7350667096429573,True,
NGC4183,23,111.8207433015196,3.0654160208313557,0.7037549752328909,7.732862452418789,2.593111686660372,1.3085159146270717,True,
NGC4214,14,89.16148139353571,0.8707868103494907,0.2508963238081577,3.7457320126202647,1.715539318340756,0.0799627474249915,True,
NGC4217,19,184.13900399391017,2.583112503408765,1.215497473303876,25.706976614058373,4.6527390112250515,1.5779254678211485,True,
NGC4389,6,192.53952913935493,9.347494615790863,0.7891859398032537,5.209811302201733,1.613972010631184,4.375288604931481,True,
NGC4559,32,123.34784741404378,3.383393376197444,0.6115545827782927,4.203449037717479,1.9517622013020606,1.2702905691684958,True,
NGC5005,18,279.3357915268048,0.5516556886362569,0.21444571439528395,22.926157561795016,4.370941695046485,0.03375785365391923,True,
NGC5033,22,211.80952271554486,0.42206477700160017,1.2916528421551527,154.06516509856002,11.53500233848075,0.2654257084821283,True,
NGC5055,28,191.21386484601416,1.0125752369237406,0.782874673606283,129.07167248089536,10.735108975463879,0.47106512061745576,True,
NGC5371,19,222.48106472545115,0.15277185598283113,0.2863676697422922,169.71877345703058,11.954960158230051,0.01885696155482149,True,
NGC5585,24,102.1243670575256,4.7154825383773655,0.5739642788365461,15.595336446436018,3.694038358034675,1.6604010988410214,True,
NGC5907,19,222.03289717342514,2.9725880772834734,1.3108754508622387,70.55241605610865,7.707954390715779,1.8821423008616835,True,
NGC5985,33,294.23205365252096,3.8747799074949727,0.9433916385601196,44.65234632691303,6.371266916036047,2.0532839960399327,True,
NGC6015,44,156.44328960080003,2.0087240752998627,0.765171612395116,33.98140419961632,5.627120958084623,0.9180889152843306,True,
NGC6195     1,23,246.6520162167726,1.4492073545568205,1.4089939857907887,48.685868085058274,6.5065764780926125,0.9472617975487989,True,
NGC6503,31,116.28122498880144,1.0270289394400072,0.8229830642810703,3.905934315068049,1.878281307918057,0.4959448134398352,True,
NGC6674,15,253.07142831829313,2.3452812855593144,2.0340385230307723,374.41071593101304,17.306893792498133,1.7469448627612196,True,
NGC6789,4,,,,,,,False,Too few points for TDGL fit (<6).
NGC6946,58,173.41564590399193,0.38390588936512277,0.20182196160757424,154.31357635441634,12.09676980215914,0.01972610194661702,True,
NGC7331,36,242.57729131590443,2.263415770606111,2.5642014078976763,57.36155011263462,7.251304774768589,1.7918262195211183,True,
NGC7793,46,109.18713926880133,1.581479222687042,0.6548753144599159,48.23714935267217,6.715001735512261,0.633516634590005,True,
NGC7814,18,224.61124434979195,0.010450669472340775,1.2044062510169549,220.15185187315492,13.544736120019557,0.0063550073128044214,True,
PGC51017,6,19.16666675539704,0.010849371393110346,0.848461015634368,1.3844444444444657,0.831998931623252,0.005354867329152028,True,
UGC00128,22,130.0754319096516,6.98494377824611,0.6927493011360337,8.855284282282998,2.765455752044703,2.9415682538988355,True,
UGC00191,9,81.23073953713771,1.8365643351139735,0.952593673423644,7.439357919529538,2.22700964217783,0.9792020916119346,True,
UGC00634,4,,,,,,,False,Too few points for TDGL fit (<6).
UGC00731,12,80.58263990954582,4.448409837469382,0.5872802391854736,1.5035131045813994,1.0619015154128228,1.6038733122606232,True,
UGC00891,5,,,,,,,False,Too few points for TDGL fit (<6).
UGC01230,11,106.64480863387772,3.4335038577314267,1.2748073900499652,15.75717620620757,3.3852273946672335,2.1460489053000877,True,
UGC01281,25,58.629323781454644,2.3940988050987175,1.167036689010682,0.5625433390097784,0.703589467181399,1.4328363804064381,True,
UGC02023,5,,,,,,,False,Too few points for TDGL fit (<6).
UGC02259,8,90.46707612093785,1.8040038699556782,0.5553699954213471,1.911220264706515,1.0929376310849452,0.6134045705133202,True,
UGC02455,8,499.9999999999254,89.42772091691191,0.6973536948397692,10.488796565438964,2.5603706476600907,37.87634237068008,True,
UGC02487,17,355.05879790817795,0.013491042565824722,2.095756882078771,522.0672268915533,20.734939504701533,0.010136704546994755,True,
UGC02885,19,287.59605930700604,0.07141346412068009,0.20000000000000004,208.51584784574547,13.251124213542527,0.0035715142301612,True,
UGC02916,43,209.7775991395056,0.2181613042760806,0.5219729197800701,82.54440566142372,8.762733228766793,0.06923283635947151,True,
UGC02953,115,287.08709332333865,0.30515701695493197,0.2613788303791407,518.5597225768511,22.472918761034663,0.030838178386947974,True,
UGC03205,48,225.54769635070184,1.2900735167575978,0.6343681767127332,108.01809126513362,10.063148640513205,0.5017245474624961,True,
UGC03546,30,211.99983078362217,0.010029055566410448,1.6423998196257537,389.6296296614453,18.726095874348736,0.006963733297392104,True,
UGC03580,47,202.97815019875566,99.99999999999346,0.21359426566879586,29.967284807902672,5.296647939464383,6.0515996079710614,True,
UGC04278,25,499.9999999999179,82.97348130794546,0.6676432382348946,11.675453638782217,3.205370368947768,33.82453721257031,True,
UGC04305,22,34.059614456860565,1.0453951143628961,1.7344126833373725,3.3261601920420167,1.694872530052687,0.7400598371128299,True,
UGC04325,8,92.02457786597645,1.4265894908851815,1.0300798646430533,0.5058557740636964,0.5622809429367229,0.7974643590373843,True,
UGC04483,8,24.817560872397976,0.5044663806812654,0.8987240818572585,0.7357258970665324,0.6781066919494179,0.2590160957051111,True,
UGC04499,9,75.08649451681269,2.864848397421743,0.8576352365405576,0.8497950669194143,0.7526819013454109,1.424708831419564,True,
UGC05005,11,104.0920129121414,10.089888910255434,0.7640460767727955,2.398862590997473,1.320843419526801,4.606275705656787,True,
UGC05253,73,242.4087772767757,0.016100078165591915,0.2648238880801743,88.76492816219198,9.225890439524083,0.0016762655245109858,True,
UGC05414,6,68.43981669556028,2.7124710644000043,0.844883728976483,0.6436088328885464,0.5672780768232395,1.334783577032903,True,
UGC05716,12,81.24603755326542,4.337959698669644,0.47089569093071343,2.522736755206042,1.375519017100284,1.2154923440852565,True,
UGC05721,23,80.43900853893297,0.7648228280434278,0.7648123800026991,14.633809893358844,3.567219096324419,0.3494343434244938,True,
UGC05750,11,79.84516781545555,6.35619084992403,1.1100823640544233,0.4236840729304962,0.5550980735169048,3.7052108773523775,True,
UGC05764,10,53.31539466801761,0.9920417784243422,0.9614527599295772,7.268431199295537,2.255637789962492,0.5320015252257995,True,
UGC05829,11,260.6480189764793,64.02479113457703,0.5897378965443871,1.7109412105250807,1.1154913179320927,23.18247123063935,True,
UGC05918,8,45.85453535987116,1.9093352914349264,0.7447933186870022,0.4600669175050795,0.5362292638794294,0.8541673070572868,True,
UGC05986,15,114.07877884436326,2.5103017532935863,1.084612006705636,14.965361620075859,3.46009960782355,1.4449000368667937,True,
UGC05999,5,,,,,,,False,Too few points for TDGL fit (<6).
UGC06399,9,88.88893515068145,3.2011798092114763,0.9406126210528397,0.7075154019576945,0.686787401339354,1.6931569336720325,True,
UGC06446,17,84.81030189444306,2.261005535465019,0.6028411999346495,6.445884157681547,2.3039911433594793,0.83695636780033,True,
UGC06614,13,208.5477157783142,2.7276040518806126,0.20000000000000004,192.80398128705514,12.178290308421634,0.13641232511945792,True,
UGC06628,7,42.176672405141474,1.4863820320929797,0.9200890161926545,0.13561727481456728,0.2783802895470945,0.7750816141035758,True,
UGC06667,9,89.00912790544315,3.355548454236277,0.8945923339207774,1.349644141816088,0.9485582539890343,1.7175956585748557,True,
UGC06786,45,230.2915892785736,0.44816817581408336,0.2046937543637882,37.706134942817606,5.932317642649998,0.024007358387507376,True,
UGC06787,71,241.5920908429482,0.1767432891060866,1.2766685432538127,182.8651641558732,13.233989084129716,0.11054587607341732,True,
UGC06818,8,106.16319203787012,7.9569249044960255,0.7981570050911985,27.428710143740137,4.140403825695941,3.756317982822212,True,
UGC06917,11,112.24369846655979,3.6877456712980563,0.7185825875682216,4.162040969609178,1.739810014624727,1.6020621054483368,True,
UGC06923,6,89.32101451509367,2.681422758416505,0.7265522811796535,14.882655483245822,2.727879715387559,1.1755887488093224,True,
UGC06930,10,108.45205325571717,3.5705026897706733,0.7710473123954015,3.9039452121245053,1.653106665792366,1.6416668756572894,True,
UGC06973,9,179.36175488062693,0.11141369434262757,0.20000000000000068,11.779254011701056,2.8022912068164336,0.0055719968171142,True,
UGC06983,17,109.13095341052855,2.927639247066392,0.8089399885552369,13.335097657443658,3.313886710444321,1.3959823508833262,True,
UGC07089,12,90.88967412879504,6.290904140490629,0.7138274002191413,2.105136538902369,1.256523936969279,2.7178121362462253,True,
UGC07125,13,67.05471032667404,4.989910685567618,0.6647587039560421,2.0945686518294444,1.2693331537675279,2.0262559216586578,True,
UGC07151,11,73.05589914851024,1.503218137527495,0.9333699323857917,5.8614891732623775,2.064679446528708,0.7911570702559765,True,
UGC07232,4,,,,,,,False,Too few points for TDGL fit (<6).
UGC07261,7,77.31918504943752,1.6979545596541263,0.573837888745143,2.0605873738969485,1.0851168136978087,0.5977410617439692,True,
UGC07323,10,161.39632564648232,12.648537373702588,0.6415775810092458,3.8684079462490053,1.6455654233041916,4.971644217760476,True,
UGC07399,10,105.6651918932926,1.8025324507042735,0.6326157527911257,5.138713465260599,1.8966020736259936,0.6991942018431396,True,
UGC07524,31,87.36919088069227,4.8812233167091374,0.7095300684836758,2.4733616540803,1.4946585143949016,2.0981061425530076,True,
