Galaxy,N_points,R_max,V_max,kappa1,RMS_resid,RMS_frac,Poly_deg,R_col,V_col
NGC0289,28,71.12,194.0,0.9578095172648595,8.184953650617253,0.04219048273514048,3,R,V_obs
NGC0300,25,11.8,97.0,0.9680391997380541,3.100197625408756,0.031960800261945935,3,R,V_obs
NGC0801,13,59.82,238.0,0.8888037224308832,26.4647140614498,0.1111962775691168,3,R,V_obs
NGC0891,18,17.11,234.0,0.9674786593405369,7.609993714314367,0.032521340659463105,3,R,V_obs
NGC1003,36,30.24,115.0,0.9589653283996052,4.718987234045392,0.041034671600394715,3,R,V_obs
NGC1090,24,30.09,176.0,0.9471402738021814,9.303311810816082,0.052859726197818646,3,R,V_obs
NGC1705,14,6.0,73.2,0.9717618240987451,2.067034475971857,0.028238175901254877,3,R,V_obs
NGC2366,26,6.06,53.7,0.9821031149920069,0.9610627249292298,0.017896885007993107,3,R,V_obs
NGC2403,73,20.87,136.0,0.9479337458767638,7.081010560760127,0.05206625412323623,3,R,V_obs
NGC2683,11,34.62,212.0,0.9580886978588226,8.885196053929619,0.04191130214117745,3,R,V_obs
NGC2841,50,63.64,323.0,0.978302749682423,7.008211852577366,0.021697250317576987,3,R,V_obs
NGC2903,34,24.96,216.0,0.8908459634606278,23.57727189250438,0.10915403653937214,3,R,V_obs
NGC2915,30,10.04,86.5,0.9602117664247555,3.441682204258655,0.039788233575244566,3,R,V_obs
NGC2955,24,35.43,276.0,0.9509270802373037,13.544125854504193,0.04907291976269635,3,R,V_obs
NGC2976,27,2.27,88.7,0.9766938589438011,2.067254711684845,0.023306141056198926,3,R,V_obs
NGC2998,13,42.28,214.0,0.9193384021858726,17.261581932223272,0.08066159781412745,3,R,V_obs
NGC3109,25,6.45,67.3,0.9851617305089381,0.9986155367484677,0.014838269491061928,3,R,V_obs
NGC3198,43,44.08,157.0,0.9333362963114521,10.466201479102024,0.06666370368854792,3,R,V_obs
NGC3521,41,17.74,220.0,0.9601859448494419,8.759092133122797,0.03981405515055817,3,R,V_obs
NGC3726,12,32.52,169.0,0.9506130026248214,8.346402556405176,0.04938699737517856,3,R,V_obs
NGC3741,21,7.0,51.6,0.9727732689274677,1.4048993233426619,0.027226731072532206,3,R,V_obs
NGC3769,12,37.16,126.0,0.95175200428515,6.079247460071091,0.04824799571484993,3,R,V_obs
NGC3877,13,11.35,171.0,0.9787513049899097,3.633526846725451,0.021248695010090357,3,R,V_obs
NGC3893,10,19.05,194.0,0.975686393907502,4.716839581944617,0.024313606092498028,3,R,V_obs
NGC3917,17,14.86,138.0,0.9821291440480815,2.4661781213647522,0.017870855951918493,3,R,V_obs
NGC3949,7,7.07,169.0,0.9918817025221461,1.371992273757304,0.00811829747785387,3,R,V_obs
NGC3953,8,15.68,224.0,0.9936195789335776,1.4292143188786295,0.006380421066422453,3,R,V_obs
NGC3972,10,8.72,134.0,0.980892795079991,2.560365459281195,0.019107204920008915,3,R,V_obs
